Category (Broad),Sub-Category (Specific),Map Your OLD List Here
Chest,Pectorals (Pecs),Chest
,Upper Chest,
,Lower Chest,
Back,Lats (Latissimus Dorsi),
,Traps (Trapezius),"Neck, Upper Back"
,Middle Back (Rhomboids),
,Lower Back (Erectors),"Lower Back, Spine"
Shoulders,Front Delts (Anterior),Shoulder
,Side Delts (Lateral),
,Rear Delts (Posterior),
Arms,Biceps,"Arms, Biceps"
,Triceps,Triceps
,Forearms,Forearm
Legs,Quads (Quadriceps),Thigh (Front)
,Hamstrings,Thigh (Back)
,Glutes,Glute
,Calves,"Calf, Ankle"
,Adductors/Abductors,Thigh (Inner/Outer)
Core,Abs (Rectus Abdominis),Abs
,Obliques,
,Pelvic Floor,Kegal
Mobility / Other,Full Body Stretching,Flexibility
